centroid_town,centroid_x,centroid_y,centroid_lat,centroid_lon
Westfield,96163.41687758402,877182.7946535981,42.13819021468723,-72.75610705061894
Salem,249004.50823210762,918045.1572449142,42.51140866709696,-70.90370528005779
Marlborough,196141.95090140423,899879.551143726,42.349402972984024,-71.54682477366978
Belchertown,125735.0600803882,892419.9810594899,42.27872617162159,-72.40035743092157
Freetown,240448.26741747567,835760.7155096198,41.77109775753444,-71.01352688467588
Florida,75876.28192898477,937741.5605288256,42.68034200043845,-73.01447872792511
Hadley,111913.23473993927,901121.1285662638,42.35561958941543,-72.56923366677373
North Adams,67515.46879591074,938346.3272616374,42.68440385367076,-73.11660823759824
Mansfield,223299.72689735045,862913.73073152,42.01626023765248,-71.21869408353623
Bernardston,114038.85909129893,938421.8969189344,42.69162787873696,-72.54900266150372
Dracut,216315.2762115809,936984.4408726199,42.68327497424078,-71.30093236938231
Shutesbury,124384.6307347947,912194.8724910412,42.45661503322897,-72.41931204747573
Franklin,207340.10237202092,870647.9866415809,42.08620540086412,-71.41128291165226
Westminster,166929.16706603204,922373.4038486423,42.5512125836205,-71.90266340059841
Revere,240890.80420297294,907666.3909883725,42.418443204161655,-71.00316728364368
Wrentham,211989.5653815595,866782.3187082079,42.05134453932277,-71.3551660041697
Avon,237269.89773644137,875235.8339071812,42.126658470962354,-71.04924359350086
Halifax,252760.03799587608,860309.397363873,41.991385458684825,-70.86325348677022
Worthington,81246.31813002001,905986.5748545165,42.395352620230355,-72.942418283098
Norwell,256382.47407913074,879150.237547461,42.16075683255928,-70.81771828279537
Brewster,319133.7200471103,833902.5630419886,41.74640020949455,-70.06766786999567
Edgartown,280228.5295903165,792705.8906250009,41.3804310614116,-70.54094050263285
Clinton,184457.2307816371,906838.6108066055,42.41190822555121,-71.68882779751458
Stow,199055.5595675249,908811.9548119424,42.42982787260246,-71.51147717202076
Attleboro,217010.22657972397,853438.4594877604,41.931112806187535,-71.29490419009765
Harwich,319118.7974294341,828273.0448030058,41.69572418403138,-70.06898266698154
Stoughton,232918.23904268903,874386.1424672906,42.11920358393543,-71.10192136459231
Somerset,229459.44725706454,833228.9695999995,41.74879101307145,-71.14581454965862
Newbury,250976.91951021922,946887.0625268617,42.77091287695178,-70.87714277760335
Hanover,253197.42610114368,874864.5438471363,42.122396054184044,-70.85665005189804
Uxbridge,188575.6788813809,867659.8919701525,42.0592539941394,-71.63802300947016
Groveland,239716.49291335564,944711.1386085676,42.751984497748225,-71.01487517773258
Millbury,177360.7597459258,882481.6869187534,42.192452960886314,-71.77409084893307
Pelham,124533.07172129757,903772.5073745532,42.38081012222381,-72.41640738501398
Wakefield,235705.1625784451,917087.0276399294,42.50350667755423,-71.06558990893751
Rockland,248778.74289683768,875620.431436208,42.12948887774677,-70.9100229583805
Seekonk,215163.04716991715,843067.5635672265,41.83777721606944,-71.31744356839718
